Pallet Name,Color Id
Metallic Gelcoat Pallet,0
Metallic Gelcoat Pallet,1
Metallic Gelcoat Pallet,2
Metallic Gelcoat Pallet,3
Metallic Gelcoat Pallet,4
Metallic Gelcoat Pallet,5
Metallic Gelcoat Pallet,6
Metallic Gelcoat Pallet,7
Metallic Gelcoat Pallet,8
Metallic Gelcoat Pallet,9
Metallic Gelcoat Pallet,10
Metallic Gelcoat Pallet,11
Metallic Gelcoat Pallet,12
Metallic Gelcoat Pallet,20
Metallic Gelcoat Pallet,21
Metallic Gelcoat Pallet,22
Metallic Gelcoat Pallet,23
Metallic Gelcoat Pallet,24
Metallic Gelcoat Pallet,25
Metallic Gelcoat Pallet,26
Metallic Gelcoat Pallet,27
Standard Gelcoat Pallet,0
Standard Gelcoat Pallet,1
Standard Gelcoat Pallet,2
Standard Gelcoat Pallet,3
Standard Gelcoat Pallet,4
Standard Gelcoat Pallet,5
Standard Gelcoat Pallet,6
Standard Gelcoat Pallet,7
Standard Gelcoat Pallet,8
Standard Gelcoat Pallet,9
Standard Gelcoat Pallet,10
Standard Gelcoat Pallet,11
Standard Gelcoat Pallet,12