Model,Feature Id,Feature Name,Price
Tomcat F21,1001,ENGINE 6.2 440HP RAPTOR FORD,"$6,995.00 "
Tomcat F21,1002,INDMAR 6.2 575 ROUSH SPCHGD,"$15,995.00 "
Tomcat F21,1003,SURF LIGHTING,$500.00 
Tomcat F21,1004,HEATER - INTERIOR,"$1,075.00 "
Tomcat F21,1005,HEATED DRIVER SEAT,$215.00 
Tomcat F21,1007,TOWER SPK A - 2 XM9's (WHITE),"$2,425.00 "
Tomcat F21,1107,TOWER SPK A - 2 XM9's (BLACK),"$2,425.00 "
Tomcat F21,1008,TOWER SPK B - 4 XM9's (WHITE),"$3,495.00 "
Tomcat F21,1108,TOWER SPK B - 4 XM9's (BLACK),"$3,495.00 "
Tomcat F21,1009,MB CAV PLATE,"$1,465.00 "
Tomcat F21,1010,MB LOGO CARPET,$450.00 
Tomcat F21,2011,MB SWITCH SURF W/ CAV PLATE,"$3,495.00 "
Tomcat F21,1012,LED THEATRE LIGHTS,$450.00 
Tomcat F21,1013,TOWER LIGHTS,"$1,225.00 "
Tomcat F21,1014,SHRINK COVER,$580.00 
Tomcat F21,1015,MB PLUG AND PLAY TWIN 800 LB. BALLAST BAGS,"$1,600.00 "
Tomcat F21,1016,MB CUSTOM BILLET BOARD RACK UPGRADE,"$1,895.00 "
Tomcat F21,1017,F-21 GLOVE BOX UPGRADE,$500.00 
Tomcat F21,1018,MB PLUG AND PLAY TWIN 1100 LB. BALLAST BAGS (B52 23 and F24 Only),"$1,600.00 "
Tomcat F22,1001,ENGINE 6.2 440HP RAPTOR FORD,"$6,995.00 "
Tomcat F22,1002,INDMAR 6.2 575 ROUSH SPCHGD,"$15,995.00 "
Tomcat F22,1003,SURF LIGHTING,$500.00 
Tomcat F22,1004,HEATER - INTERIOR,"$1,075.00 "
Tomcat F22,1005,HEATED DRIVER SEAT,$215.00 
Tomcat F22,1007,TOWER SPK A - 2 XM9's (WHITE),"$2,425.00 "
Tomcat F22,1107,TOWER SPK A - 2 XM9's (BLACK),"$2,425.00 "
Tomcat F22,1008,TOWER SPK B - 4 XM9's (WHITE),"$3,495.00 "
Tomcat F22,1108,TOWER SPK B - 4 XM9's (BLACK),"$3,495.00 "
Tomcat F22,1009,MB CAV PLATE,"$1,465.00 "
Tomcat F22,1010,MB LOGO CARPET,$450.00 
Tomcat F22,2011,MB SWITCH SURF W/ CAV PLATE,"$3,495.00 "
Tomcat F22,1012,LED THEATRE LIGHTS,$450.00 
Tomcat F22,1013,TOWER LIGHTS,"$1,225.00 "
Tomcat F22,1014,SHRINK COVER,$580.00 
Tomcat F22,1015,MB PLUG AND PLAY TWIN 800 LB. BALLAST BAGS,"$1,600.00 "
Tomcat F22,1016,MB CUSTOM BILLET BOARD RACK UPGRADE,"$1,895.00 "
Tomcat F22,1017,F-21 GLOVE BOX UPGRADE,$500.00 
Tomcat F22,1018,MB PLUG AND PLAY TWIN 1100 LB. BALLAST BAGS (B52 23 and F24 Only),"$1,600.00 "
Tomcat F24,1001,ENGINE 6.2 440HP RAPTOR FORD,"$6,995.00 "
Tomcat F24,1002,INDMAR 6.2 575 ROUSH SPCHGD,"$15,995.00 "
Tomcat F24,1003,SURF LIGHTING,$500.00 
Tomcat F24,1004,HEATER - INTERIOR,"$1,075.00 "
Tomcat F24,1005,HEATED DRIVER SEAT,$215.00 
Tomcat F24,1007,TOWER SPK A - 2 XM9's (WHITE),"$2,425.00 "
Tomcat F24,1107,TOWER SPK A - 2 XM9's (BLACK),"$2,425.00 "
Tomcat F24,1008,TOWER SPK B - 4 XM9's (WHITE),"$3,495.00 "
Tomcat F24,1108,TOWER SPK B - 4 XM9's (BLACK),"$3,495.00 "
Tomcat F24,1009,MB CAV PLATE,"$1,465.00 "
Tomcat F24,1010,MB LOGO CARPET,$450.00 
Tomcat F24,2011,MB SWITCH SURF W/ CAV PLATE,"$3,495.00 "
Tomcat F24,1012,LED THEATRE LIGHTS,$450.00 
Tomcat F24,1013,TOWER LIGHTS,"$1,225.00 "
Tomcat F24,1014,SHRINK COVER,$580.00 
Tomcat F24,1016,MB CUSTOM BILLET BOARD RACK UPGRADE,"$1,895.00 "
Tomcat F24,1018,MB PLUG AND PLAY TWIN 1100 LB. BALLAST BAGS (B52 23 and F24 Only),"$1,600.00 "
B52 21,1001,ENGINE 6.2 440HP RAPTOR FORD,"$6,995.00 "
B52 21,1002,INDMAR 6.2 575 ROUSH SPCHGD,"$15,995.00 "
B52 21,1003,SURF LIGHTING,$500.00 
B52 21,1004,HEATER - INTERIOR,"$1,075.00 "
B52 21,1005,HEATED DRIVER SEAT,$215.00 
B52 21,1007,TOWER SPK A - 2 XM9's (WHITE),"$2,425.00 "
B52 21,1107,TOWER SPK A - 2 XM9's (BLACK),"$2,425.00 "
B52 21,1008,TOWER SPK B - 4 XM9's (WHITE),"$3,495.00 "
B52 21,1108,TOWER SPK B - 4 XM9's (BLACK),"$3,495.00 "
B52 21,1009,MB CAV PLATE,"$1,465.00 "
B52 21,1010,MB LOGO CARPET,$450.00 
B52 21,2011,MB SWITCH SURF W/ CAV PLATE,"$3,495.00 "
B52 21,1012,LED THEATRE LIGHTS,$450.00 
B52 21,1013,TOWER LIGHTS,"$1,225.00 "
B52 21,1014,SHRINK COVER,$580.00 
B52 21,1015,MB PLUG AND PLAY TWIN 800 LB. BALLAST BAGS,"$1,600.00 "
B52 21,1016,MB CUSTOM BILLET BOARD RACK UPGRADE,"$1,895.00 "
B52 21,1017,F-21 GLOVE BOX UPGRADE,$500.00 
B52 21,1018,MB PLUG AND PLAY TWIN 1100 LB. BALLAST BAGS (B52 23 and F24 Only),"$1,600.00 "
B52 23,1001,ENGINE 6.2 440HP RAPTOR FORD,"$6,995.00 "
B52 23,1002,INDMAR 6.2 575 ROUSH SPCHGD,"$15,995.00 "
B52 23,1003,SURF LIGHTING,$500.00 
B52 23,1004,HEATER - INTERIOR,"$1,075.00 "
B52 23,1005,HEATED DRIVER SEAT,$215.00 
B52 23,1007,TOWER SPK A - 2 XM9's (WHITE),"$2,425.00 "
B52 23,1107,TOWER SPK A - 2 XM9's (BLACK),"$2,425.00 "
B52 23,1008,TOWER SPK B - 4 XM9's (WHITE),"$3,495.00 "
B52 23,1108,TOWER SPK B - 4 XM9's (BLACK),"$3,495.00 "
B52 23,1009,MB CAV PLATE,"$1,465.00 "
B52 23,1010,MB LOGO CARPET,$450.00 
B52 23,2011,MB SWITCH SURF W/ CAV PLATE,"$3,495.00 "
B52 23,1012,LED THEATRE LIGHTS,$450.00 
B52 23,1013,TOWER LIGHTS,"$1,225.00 "
B52 23,1014,SHRINK COVER,$580.00 
B52 23,1015,MB PLUG AND PLAY TWIN 800 LB. BALLAST BAGS,"$1,600.00 "
B52 23,1016,MB CUSTOM BILLET BOARD RACK UPGRADE,"$1,895.00 "
B52 23,1017,F-21 GLOVE BOX UPGRADE,$500.00 
B52 23,1018,MB PLUG AND PLAY TWIN 1100 LB. BALLAST BAGS (B52 23 and F24 Only),"$1,600.00 "
