Pallet Name,Upholstery Color Id
Standard Upholstery Pallet,0
Standard Upholstery Pallet,1
Standard Upholstery Pallet,2
Standard Upholstery Pallet,3
Standard Upholstery Pallet,4
Standard Upholstery Pallet,5
Standard Upholstery Pallet,6
Standard Upholstery Pallet,7
Standard Upholstery Pallet,8
Standard Upholstery Pallet,9
Standard Upholstery Pallet,10
Standard Upholstery Pallet,11
Standard Upholstery Pallet,12
Standard Upholstery Pallet,13
Standard Upholstery Pallet,14
Standard Upholstery Pallet,15
Standard Upholstery Pallet,16
Standard Upholstery Pallet,17
Standard Upholstery Pallet,18
Standard Upholstery Pallet,19
Standard Upholstery Pallet,30
Standard Upholstery Pallet,31
Standard Upholstery Pallet,32
Standard Upholstery Pallet,33
Standard Upholstery Pallet,34
Standard Upholstery Pallet,35
Standard Upholstery Pallet,36
Standard Upholstery Pallet,37
Standard Upholstery Pallet,38
Standard Upholstery Pallet,39
Standard Upholstery Pallet,40
Standard Upholstery Pallet,41
Standard Upholstery Pallet,42
Standard Upholstery Pallet,43
Standard Upholstery Pallet,44
Standard Upholstery Pallet,45
Standard Upholstery Pallet,46
Main Upholstery Pallet,0
Main Upholstery Pallet,1
Main Upholstery Pallet,2
Main Upholstery Pallet,3
Main Upholstery Pallet,4
Main Upholstery Pallet,10
Main Upholstery Pallet,11
Main Upholstery Pallet,30
Main Upholstery Pallet,32
Main Upholstery Pallet,33